study_status,sponsor,enrollment,study_type,study_design,study_duration_days,sex_all,sex_female,sex_male,has_child,has_adult,has_older_adult,phase1,phase2,phase3,funder_fed,funder_indiv,funder_industry,funder_network,funder_nih,funder_other,funder_other_gov,funder_unknown,missing_start_date,missing_primary_completion_date,missing_completion_date
1,9,273,0,118,356.0,True,False,False,0,1,1,0,1,0,False,False,True,False,False,False,False,False,0,0,0
1,9,172,0,106,1401.0,True,False,False,0,1,1,0,0,1,False,False,True,False,False,False,False,False,0,1,1
0,9,88,0,61,244.0,True,False,False,0,1,1,0,0,1,False,False,False,False,False,True,False,False,0,0,0
0,9,30,0,61,305.0,True,False,False,0,1,1,1,1,0,False,False,False,False,False,True,False,False,0,0,0
1,9,320,0,106,1401.0,True,False,False,0,1,1,0,0,1,False,False,True,False,False,False,False,False,0,1,1
0,9,478,0,118,562.0,True,False,False,0,1,1,0,0,1,False,False,True,False,False,False,False,False,0,0,0
1,9,250,0,137,1709.0,True,False,False,0,1,1,0,1,0,False,False,False,False,False,True,False,False,0,0,0
1,9,840,0,118,699.0,True,False,False,0,1,1,0,0,1,False,False,True,False,False,False,False,False,0,0,0
1,9,994,0,122,1276.0,True,False,False,0,1,1,0,0,1,False,False,False,False,False,True,False,False,0,0,0
1,9,270,0,106,583.0,True,False,False,0,1,1,0,1,0,False,False,True,False,False,False,False,False,0,0,0
1,9,125,0,106,1401.0,True,False,False,0,1,1,0,1,0,False,False,True,False,False,False,False,False,0,1,1
1,9,70,0,150,1401.0,True,False,False,1,1,0,0,1,0,False,False,False,False,False,True,False,False,0,1,1
1,9,554,0,137,1321.0,True,False,False,0,1,1,0,1,1,False,False,False,False,False,True,False,False,0,0,0
1,9,120,0,15,805.0,True,False,False,0,1,1,1,1,0,False,False,False,False,False,True,False,False,0,0,0
0,9,60,0,124,1401.0,True,False,False,1,1,0,0,1,0,False,False,False,False,False,True,False,False,1,1,1
1,9,60,0,118,1401.0,True,False,False,0,1,1,0,1,0,False,False,True,False,False,False,False,False,0,1,1
0,9,72,0,106,1401.0,True,False,False,1,1,0,1,1,0,False,False,True,False,False,False,False,False,1,1,1
1,9,24,0,54,1401.0,True,False,False,0,1,1,1,1,0,False,False,False,False,False,True,False,False,0,1,1
1,9,24,0,106,2039.0,True,False,False,1,1,0,0,1,0,False,False,False,False,False,True,False,False,0,0,0
0,9,15,0,15,1400.0,True,False,False,0,1,0,1,1,0,False,False,True,False,False,False,False,False,0,0,0
1,9,184,0,118,1186.0,True,False,False,0,1,1,0,0,1,False,False,False,False,False,True,False,False,0,0,0
1,9,54,0,96,1445.0,True,False,False,0,1,0,0,1,0,False,False,False,False,False,True,False,False,0,0,0
0,9,120,0,144,365.0,True,False,False,0,1,0,1,1,0,False,False,False,False,False,False,True,False,0,0,0
1,9,124,0,124,340.0,True,False,False,0,1,1,0,0,1,False,False,True,False,False,False,False,False,0,0,0
1,9,800,0,106,659.0,True,False,False,0,1,1,0,0,1,False,False,True,False,False,False,False,False,0,0,0
1,9,96,0,118,921.0,True,False,False,0,1,1,1,1,0,False,False,False,False,False,True,False,False,0,0,0
1,9,360,0,106,556.0,True,False,False,0,1,1,0,1,0,False,False,True,False,False,False,False,False,0,0,0
1,9,50,0,91,1004.0,True,False,False,1,1,1,0,1,1,False,False,True,False,False,False,False,False,0,0,0
0,9,510,0,118,1401.0,True,False,False,0,1,1,0,0,1,False,False,True,False,False,False,False,False,1,1,1
0,9,120,0,124,226.0,False,True,False,0,1,0,1,1,0,False,False,False,False,False,True,False,False,0,0,0
1,9,1000,0,3,1401.0,True,False,False,0,1,1,0,0,1,False,False,False,False,False,False,True,False,0,1,1
1,9,90,0,7,1401.0,False,False,True,0,1,1,0,0,1,False,False,False,False,False,True,False,False,0,1,1
1,9,344,0,118,1618.0,True,False,False,0,1,1,0,0,1,False,False,True,False,False,False,False,False,0,0,0
0,9,162,0,106,641.0,True,False,False,0,1,1,0,0,1,False,False,True,False,False,False,False,False,0,0,0
1,9,40,0,118,760.0,True,False,False,0,1,1,0,1,0,False,False,False,False,False,True,False,False,0,0,0
1,9,186,0,63,1401.0,True,False,False,0,1,1,0,1,0,False,False,True,False,False,False,False,False,0,1,1
1,9,39,0,106,1401.0,True,False,False,0,1,1,0,1,0,False,False,False,False,False,True,False,False,1,1,1
1,9,36,0,156,1401.0,True,False,False,0,1,1,0,1,0,False,False,False,False,False,True,False,False,0,1,1
1,9,64,0,151,1364.0,True,False,False,0,1,0,0,1,0,False,False,False,False,False,True,False,False,0,0,0
1,9,228,0,106,1401.0,True,False,False,0,1,1,0,0,1,False,False,True,False,False,False,False,False,0,1,1
0,9,173,0,124,1552.0,False,True,False,1,1,1,0,1,0,False,False,False,False,False,True,False,False,0,0,0
0,9,100,0,124,1457.0,True,False,False,0,1,1,0,1,0,False,False,False,False,False,True,False,False,0,0,0
1,9,276,0,106,1401.0,True,False,False,0,1,1,0,0,1,False,False,True,False,False,False,False,False,0,1,1
1,9,685,0,110,1401.0,True,False,False,0,1,1,0,0,1,False,False,True,False,False,False,False,False,0,1,1
1,9,30,0,143,396.0,True,False,False,1,1,0,0,0,1,False,False,False,False,False,True,False,False,0,0,0
